date,start_time,end_time,district,affected_area,reason
2024-01-01,06:00,09:00,Kathmandu,,synthetic
2024-01-01,13:00,14:00,Lalitpur,,synthetic
2024-01-01,08:00,10:00,Kathmandu,,synthetic
2024-01-02,08:00,09:00,Kathmandu,,synthetic
2024-01-03,06:00,08:00,Chitwan,,synthetic
2024-01-03,19:00,20:00,Chitwan,,synthetic
2024-01-03,14:00,17:00,Chitwan,,synthetic
2024-01-04,19:00,21:00,Lalitpur,,synthetic
2024-01-05,16:00,17:00,Lalitpur,,synthetic
2024-01-06,17:00,20:00,Kathmandu,,synthetic
2024-01-06,14:00,17:00,Chitwan,,synthetic
2024-01-07,09:00,12:00,Nuwakot,,synthetic
2024-01-07,08:00,10:00,Nuwakot,,synthetic
2024-01-07,17:00,19:00,Chitwan,,synthetic
2024-01-08,07:00,10:00,Kathmandu,,synthetic
2024-01-08,08:00,11:00,Bhaktapur,,synthetic
2024-01-08,18:00,19:00,Kathmandu,,synthetic
2024-01-09,11:00,13:00,Bhaktapur,,synthetic
2024-01-09,14:00,17:00,Lalitpur,,synthetic
2024-01-09,11:00,13:00,Kathmandu,,synthetic
2024-01-10,20:00,22:00,Lalitpur,,synthetic
2024-01-11,13:00,16:00,Chitwan,,synthetic
2024-01-11,13:00,16:00,Kathmandu,,synthetic
2024-01-11,18:00,19:00,Bhaktapur,,synthetic
2024-01-12,16:00,17:00,Chitwan,,synthetic
2024-01-13,20:00,21:00,Nuwakot,,synthetic
2024-01-13,13:00,16:00,Lalitpur,,synthetic
2024-01-14,19:00,22:00,Bhaktapur,,synthetic
2024-01-14,17:00,18:00,Nuwakot,,synthetic
2024-01-14,21:00,22:00,Lalitpur,,synthetic
2024-01-15,10:00,12:00,Kathmandu,,synthetic
2024-01-16,08:00,10:00,Nuwakot,,synthetic
2024-01-16,20:00,22:00,Chitwan,,synthetic
2024-01-16,06:00,09:00,Chitwan,,synthetic
2024-01-17,14:00,17:00,Chitwan,,synthetic
2024-01-18,15:00,17:00,Kathmandu,,synthetic
2024-01-18,06:00,09:00,Nuwakot,,synthetic
2024-01-19,11:00,13:00,Bhaktapur,,synthetic
2024-01-19,15:00,18:00,Kathmandu,,synthetic
2024-01-19,12:00,13:00,Chitwan,,synthetic
